"Atomic environment number (Villars, Daams)",Charge nuclear effective (Clementi),Compression modulus,Density,Energy cohesive (Brewer),Enthalpy of melting,Entropy of solid,Magnetic frequency of nuclei,Melting temperature,Mendeleev chemists sequence,Moment nuclear magnetic,Nuclear charge effective (Slater),Oxidation state first,Radii covalent(pm),Radii metal (Waber) (A),Spectral lines no,Spin nuclei,Thermal neutron capture cross section,Valence electron number,"Volume of atom (Villars, Daams)",Luminosity (photons/MeV)
6.471428571,9.539585714,0.038011429,3882.204286,4.362457143,10.5975,99.852962,16.90473714,450.97,59.41285714,2.468042857,5.378571429,0,171.2985714,1.89056,165.2042857,2.652857143,58.00128571,4.581428571,6.629282857,2.125
5.111111111,6.511111111,0.138888889,3248.444444,1.826666667,7.512222222,172.5752267,9.793555556,459,74.88888889,1.184888889,4.905555556,0,134.2222222,1.389777778,154.5555556,2.166666667,41.66666667,5.333333333,1926.822111,6.75
6,7.898,0.0545,3113.68,1.487,7.943,117.736997,23.7995,372.4,64.3,2.1138,5.415,0,144.2,1.5759,94.6,2.1,9.9445,4.8,4.8514,3.5
6,7.64258,0.068756,3080.0596,1.46918,8.5964,117.3763885,23.102243,423.286,65.488,2.0643,5.415,0,143.804,1.584513,101.827,1.902,4860.8851,4.8,4.834768,3.125
6,7.6658,0.06746,3083.116,1.4708,8.537,117.4091711,23.16563,418.66,65.38,2.0688,5.415,0,143.84,1.58373,101.17,1.92,4419.8905,4.8,4.83628,3.8125
6.117647059,7.823431373,0.058470588,3029.343137,1.555784314,8.058823529,115.6714272,23.83382353,396.8627451,63.21568627,2.304990196,5.364705882,0.058823529,144.9607843,1.592921569,109.4705882,2.12745098,10.50068627,4.764705882,4.847676471,6.25
6,5.953,0.068614,2629.2,1.605945,6.46885,158.5057307,13.5289275,401.371,68.087,1.61963,4.529925,-8.88E-17,134.3045,1.4223905,135.1255,2.1,35.4628,4.8,1734.432664,0.875
6,9.247,0.074614,4369.2,4.821945,11.93785,94.36058873,19.6543275,530.371,66.287,2.80343,5.429925,-8.88E-17,154.7045,1.7097905,139.3255,2.7,17.8828,4.8,5.390464,1.375
6,7.44854,0.067073,2721.64,1.49195,8.2004,115.2354304,23.209163,444.076,64.003,2.111523,5.42985,0,143.903,1.584414,91.135,1.803,10.01182,4.8,4.83556,3
6,5.698,0.0642,2074,1.6,5.704,158.016004,12.8784,388.4,65.2,1.3447,4.53,0,134.9,1.4291,136.7,1.8,27.2325,4.8,1734.4692,2.8025
6,5.70027,0.0641365,2075.98,1.599975,5.7027,158.0286382,12.8813815,388.038,65.2015,1.3447115,4.529925,-8.88E-17,134.9015,1.429057,136.7175,1.8015,27.23216,4.8,1734.46928,2.625
6,5.698454,0.0641873,2074.396,1.599995,5.70374,158.0185308,12.8789963,388.3276,65.2003,1.3447023,4.529985,0,134.9003,1.4290914,136.7035,1.8003,27.232432,4.8,1734.469216,2.7
6,5.698298,0.064188,2074.4986,1.599866,5.70396,158.0217359,12.8832784,388.2818,65.201,1.3454566,4.52997,0,134.9006,1.4291054,136.7292,1.8004,27.234524,4.8,1734.469228,1.25
6,8.021,0.0497,3157.38,1.435,7.914,120.02299,22.5583,364.2,64.2,2.0098,5.505,0,147.3,1.6108,100,2.1,9.993,4.8,5.0224,3.125
6,7.7888,0.06266,3126.816,1.4188,8.508,119.6951641,21.92443,410.46,65.28,1.9648,5.505,0,146.94,1.61863,106.57,1.92,4419.939,4.8,5.00728,4.6
6,7.77332,0.063524,3124.7784,1.41772,8.5476,119.673309,21.882172,413.544,65.352,1.9618,5.505,0,146.916,1.619152,107.008,1.908,4713.9354,4.8,5.006272,6
6,6.0428,0.05966,2483.136,1.5268,6.009,162.5010061,11.59963,354.06,66.48,1.198,4.605,0,137.94,1.46323,152.17,1.92,4437.159,4.8,1734.64108,2.625
6,6.02216,0.060812,2480.4192,1.52536,6.0618,162.471866,11.543286,358.172,66.576,1.194,4.605,-8.88E-17,137.908,1.463926,152.754,1.904,4829.1542,4.8,1734.639736,3.375
6,7.872745,0.050098,2948.9275,1.449925,8.02345,118.7565669,22.883068,376.339,63.802,2.2685995,5.505,-8.88E-17,147.698,1.626919,115.92,2.1,10.82681,4.8,5.0485685,2.125
6,7.87796,0.050084,2956.26,1.4494,8.0196,118.8011145,22.871644,375.912,63.816,2.259496,5.505,0,147.684,1.626352,115.36,2.1,10.79748,4.8,5.047648,5.75
6,7.568362,0.0623619,2762.568,1.439985,8.17322,117.5037355,21.9637889,436.3828,63.9009,2.0075069,5.519955,0,147.0009,1.6193742,96.5105,1.8009,10.060796,4.8,5.006448,1.1875
6.285714286,6.167142857,0.102571429,2714.142857,1.221428571,5.297142857,157.5612371,10.24,283.5714286,62,1.326571429,4.735714286,0,141.2857143,1.5,145.2857143,2.214285714,28.72857143,6,1652.668429,0.07875
5.111111111,6.21,0.110333333,2492.444444,1.805555556,6.467777778,171.8216122,10.48355556,417.8888889,75,1.261333333,4.888888889,0,134.3333333,1.392222222,152.6666667,2.055555556,30.13155556,5.333333333,1926.831778,3.1375
6,6.66,0.0419,2603.9,1.512,5.36,166.157335,10.9001,300.9,65.1,1.2778,4.605,0,146.4,1.5374,148.6,2.3,30.06,4.8,1735.4215,2.375
11.16666667,7.8636,0.142186667,4392.765333,2.907266667,8.776333333,83.5913517,11.18947667,742.12,31.46,1.636,3.316666667,1.333333333,193.3466667,2.197543333,154.2566667,2.673333333,16185.53533,2.666666667,7.603893333,0.325
6,8.15832,0.058724,3214.9784,1.38672,8.4926,123.001812,20.548772,406.644,65.052,1.9966,5.505,0,155.016,1.701152,110.008,2.108,4716.7824,4.8,5.771572,5.875
6,8.16864,0.058148,3216.3368,1.38744,8.4662,123.0163821,20.576944,404.588,65.004,1.9986,5.505,0,155.032,1.700804,109.716,2.116,4520.7848,4.8,5.772244,3.0625
6,8.257,0.0453,3038.08,1.419,7.969,122.078706,21.5513,369.5,63.5,2.3047,5.505,0,155.8,1.709,119,2.3,13.678,4.8,5.814,0.2625
6,8.257745,0.045298,3039.1275,1.418925,7.96845,122.0850699,21.549668,369.439,63.502,2.3033995,5.505,-8.88E-17,155.798,1.708919,118.92,2.3,13.67381,4.8,5.8138685,1.3
6,8.2719,0.04526,3059.03,1.4175,7.958,122.2059847,21.51866,368.28,63.54,2.27869,5.505,0,155.76,1.70738,117.4,2.3,13.5942,4.8,5.81137,4.375
6,8.2719,0.04526,3059.03,1.4175,7.958,122.2059847,21.51866,368.28,63.54,2.27869,5.505,0,155.76,1.70738,117.4,2.3,13.5942,4.8,5.81137,4.0625
6,6.5408,0.04222,2436.3,1.524,5.448,165.1391054,11.16122,310.66,64.78,1.48588,4.605,0,146.72,1.55036,161.4,2.3,30.7304,4.8,1735.44254,2.5
6,6.52292,0.042268,2411.16,1.5258,5.4612,164.986371,11.200388,312.124,64.732,1.517092,4.605,0,146.768,1.552304,163.32,2.3,30.83096,4.8,1735.445696,2
5.357142857,10.08357143,0.082285714,4976.357143,5.15,13.16785714,99.81867,17.302,589.0714286,72.07142857,2.759857143,5.785714286,0,158.1428571,1.7265,149.0714286,2.857142857,22.2,5.142857143,5.643142857,0.825
5.357142857,10.08642857,0.08204,4974.071429,5.149842857,13.15314286,99.84791779,17.30122143,587.8457143,72.03428571,2.755942857,5.7855,0,158.1557143,1.726472857,149.1442857,2.857142857,22.08085714,5.142857143,5.643897143,2.85
6,9.754,0.0651,4503.9,4.739,11.859,99.964848,17.08,515.7,65.9,2.7356,5.52,0,165.9,1.8267,147.7,2.9,20.82,4.8,6.3265,0.175
6,9.755,0.065014,4503.1,4.738945,11.85385,99.97508472,17.0797275,515.271,65.887,2.73423,5.519925,-8.88E-17,165.9045,1.8266905,147.7255,2.9,20.7783,4.8,6.326764,0.1875
5.825,8.3364,0.044095,3080.12,1.3373,8.82625,121.663171,21.365065,453.985,65.635,1.868075,5.7375,0,150.06,1.631155,128.245,1.755,31.1935,5.005,5.06282,11.5
5.7,9.955525,0.04777,4242.7325,4.7993,11.941875,99.513236,17.16179,530.8225,65.3475,2.309825,5.7375,1.11E-16,161.7725,1.763105,180.7325,2.3925,88.30225,5.0175,5.660495,12.125
5.775,9.95155,0.04744,4230.365,4.7996,11.92875,99.4661345,17.05913,530.095,65.145,2.3054,5.7375,0,161.87,1.766435,180.365,2.385,53.812,5.01,5.67164,12.75
5.8,9.950225,0.04733,4226.2425,4.7997,11.924375,99.450434,17.02491,529.8525,65.0775,2.303925,5.7375,0,161.9025,1.767545,180.2425,2.3825,42.31525,5.0075,5.675355,10
5.75,9.952875,0.04755,4234.4875,4.7995,11.933125,99.481835,17.09335,530.3375,65.2125,2.306875,5.7375,0,161.8375,1.765325,180.4875,2.3875,65.30875,5.0125,5.667925,10
5.874,9.946695,0.047154,4215.733,4.80031,11.90898,99.39981559,16.9276505,528.841,64.9085,2.301788,5.738575,0.0005,161.976,1.770585,179.7915,2.3765,7.92135,5.0005,5.684659,4.375
5.875,9.933575,0.0469125,4207.3175,4.798025,11.89835,99.36889608,16.960595,527.5575,64.8675,2.3027125,5.735875,-0.0025,161.89,1.770045,179.525,2.375,7.823075,4.9975,5.6805675,4.1875
5.871,9.94073,0.048896,4215.699,4.8059,11.92475,99.3349137,16.9113,530.995,64.967,2.299212,5.7381,0,161.868,1.769313,180.565,2.377,7.8346,5.004,5.67743,5
5.87,9.948775,0.047075,4221.315,4.79925,11.91075,99.390944,16.9385,529.3575,64.9775,2.29548,5.7375,0,161.93,1.7696175,179.715,2.3775,7.90925,5.0025,5.6810725,6.75
5.672,7.62936,0.04932,2605.368,1.26032,8.4952,116.748075,20.461768,441.944,63.6,1.554576,5.57,0,150.376,1.6402,112.744,2.284,83.55912,4.816,5.21148,3.5
5.8,5.824,0.0464,1902.6,1.368,5.981,159.081646,9.8478,385.8,64.4,0.7424,4.67,0,141.2,1.4876,156.6,2.3,27.186,4.8,1734.8424,0.175
4.5,7.08,0.0638,3256.3,1.924,6.4725,178.554455,10.3427,364.8,77.2,0.8631,5.06,0,125.8,1.2538,156.2,2.1,27.87,5.6,2022.0535,3.25
7.5,6.24,0.02,1951.5,1.1,4.2475,153.760215,11.4575,237,53,1.6925,4.15,0,167,1.821,141,2.5,32.25,4,1448.7895,0.1125
7.5,5.73,0.0155,1694.5,0.82,1.3,143.62816,53.597,178,54,2.5955,3.7,0,146.5,1.7405,95.5,2,14.5048,4,933.2895,0.25
2.777777778,112.4447667,0.097197778,2280.933111,2.7701,1.827333333,154.2871647,18.97857944,211.6588889,91.71555556,-0.886833333,4.380555556,-0.444444444,90.44666667,1.129562778,161.015,2.056666667,2696.653311,5.333333333,2.406593333,3.05
4.5,5.9532,0.08054,2842.164,1.5032,3.402,163.7867764,68.21112,364.44,80.52,2.0473,4.43,8.88E-17,96.46,1.15502,104.18,1.08,7842.93072,5.6,1300.32662,0.9125
